scaffold,frequency
C=C1NC(=O)C(NC(=O)CCc2nc(-c3ccncc3)no2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)COc2ccccc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)Cc2ccc(NC(=O)Nc3ccccc3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)Cc2cn(C(=O)c3ccccc3)c3ccccc23)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2cc3ccccc3o2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2ccc(-c3ccccc3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2ccc(-c3nn[nH]n3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2ccc(NS(=O)(=O)Cc3ccccc3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2ccc(Oc3ccccc3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2cccc(-c3ccccc3)c2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2ccccc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2cn3c4c(c(N5CCNCC5)ccc4c2=O)OC[CH]3)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)C(NC(=O)c2cn3c4c(cccc4c2=O)OC[CH]3)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1NC(=O)CCCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
C=C1SC(C(=O)NC2C(=O)N3C=C(CSc4nnn[nH]4)CSC23)S1,1
C=C1[CH][CH]C[C]1n1cnc2c(=O)[nH]cnc21,1
N=C(C(=O)NC1C(=O)N2C=C(C=Cc3cncs3)CSC12)c1cscn1,1
N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)cn[nH]3)CSC12)c1cscn1,1
N=C(C(=O)NC1C(=O)N2C=C(C[NH+]3CCCC3)CSC12)c1cscn1,1
N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)c1cscn1,1
N=C(C(=O)NC1C(=O)N2C=C(Cn3ccc[nH+]3)CSC12)c1ncsn1,1
N=C(C(=O)N[C]1[C]2SCC(C[NH+]3CCCC3)=CN2C1=O)c1cscn1,1
N=C(C(=O)N[C]1[C]2SCC(C[n+]3ccccc3)=CN2C1=O)c1cscn1,1
N=C(C(=O)N[C]1[C]2SCC=CN2C1=O)c1cscn1,1
N=C(C1=NOCCO1)c1ccccc1Oc1cc(Oc2ccccc2)ncn1,1
N=C(COc1ccc(COc2ccccc2)cc1)c1ccccc1,1
N=C1CCN(c2ccc3c(=O)ccn(C4CC4)c3n2)C1,1
N=C1CCc2ccc(OCc3cccc(-c4ccccc4)c3)cc21,1
N=C1NCOCN1Cc1cncs1,1
O=C(CC(NC(=O)c1ccccc1)c1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,1
O=C(CC1CCNCC1)N1CCC(C2c3ccccc3CCc3cccnc32)CC1,1
O=C(CCC=CCc1ccc2c(c1)C(=O)OC2)OCCN1CCOCC1,1
O=C(CCCNC(=O)C(NC(=O)c1ccncn1)C(OC1OCCCC1OC1CCCCO1)c1cnc[nH]1)NCC(=O)NCCc1nc(-c2nccs2)cs1,1
O=C(CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)OCCCOP(=O)(COCCn1cnc2cncnc21)OCCCSC(=O)[CH]Cc1ccccc1,1
O=C(CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)OCCCOP(=O)(COCCn1cnc2cncnc21)OCCCSC(=O)[CH]Cc1ccccc1,1
O=C(CCc1c[nH]c2ccccc12)NCC(=O)NCC(=O)NC1COC(=O)C(CC(=O)c2ccccc2)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC1=O,1
O=C(CN1CCN(CCCOc2ccccc2)CC1)Nc1ccccc1,1
O=C(CN1CCOCC1)NC(CCc1ccccc1)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)C1CO1,1
O=C(CNS(=O)(=O)c1cccc2c1NCCC2)N1CCCCC1,1
O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,1
O=C(COc1nncs1)Nc1ccccc1,1
O=C(C[CH]c1ccccc1)O[C]1C=C2[CH]C(=O)C3[CH]C[C]4OCC4[C]3[C](OC(=O)c3ccccc3)C(C1)C2,1
O=C(Cc1cccs1)NC1C(=O)N2C=CCSC12,1
O=C(Cc1cccs1)N[C]1[C]2SCC(C[n+]3ccccc3)=CN2C1=O,1
O=C(Cn1cnnn1)NC1C(=O)N2C=C(CSc3nncs3)CSC12,1
O=C(NC1CCCNC(=O)C2CCCN2C(=O)CNC(=O)C(CCc2ccccc2)NC(=O)C2CCCN2C(=O)CNC1=O)c1ccc(-c2cc(-c3ccccc3)on2)cc1,1
O=C(NCCOc1ccccc1)n1ccnc1,1
O=C(NCc1ccccc1)NCc1ccccc1,1
O=C(NCc1ccccc1)c1cc(-c2nn[nH]n2)ccn1,1
O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCCCO3)n2)ccn1,1
O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCCOC3)n2)ccn1,1
O=C(NN=C1C[C]2CCC1C2)C1C2C=CC3(CN(CCc4ccccc4)C(=O)C13)O2,1
O=C(NN=C1C[C]2CCC1C2)C1C2C=CC3(CN(Cc4ccccc4)C(=O)C13)O2,1
O=C(N[C]([CH]CNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C]1CCOC1,1
O=C(N[C]1[CH]Cc2ccccc21)[C](C[CH]CN1[CH]CN(Cc2cccnc2)CC1)Cc1ccccc1,1
O=C(Nc1ccc(C(=O)N2CCCCc3ccccc32)cc1)c1ccccc1,1
O=C(Nc1ccccc1)C1=COCCS1,1
O=C(Nc1ccccc1)C1CC1,1
O=C(Nc1ccccc1)Nc1ccncc1,1
O=C(Nc1ccccc1)Nc1cnns1,1
O=C(Nc1ccccn1)C1NS(=O)(=O)c2ccccc2C1=O,1
O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1,1
O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1C(=O)OC1COC1,1
O=C(Nc1ncccn1)NS(=O)(=O)c1ccccn1,1
O=C(Nc1ncccn1)NS(=O)(=O)c1cnc2ccccn12,1
O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,1
O=C(Nc1nccs1)C1NS(=O)(=O)c2ccccc2C1=O,1
O=C(OC1CC2CCC(C1)N2)c1ccccc1,1
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(c1ccccc1)c1ccccc1,1
O=C(OC1C[C]2CCC(C1)[N+]21CCCC1)C(c1ccccc1)c1ccccc1,1
O=C(OCOC(=O)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c12)OC1CCCCC1,1
O=C(O[C]1c2nccnc2C(=O)N1c1ccccn1)N1CCNCC1,1
O=C([CH]Cc1c[nH]c2ccccc12)N[CH]C(=O)N[CH]C(=O)NC1COC(=O)[C](CC(=O)c2ccccc2)NC(=O)[CH]NC(=O)[CH]NC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)CNC1=O,1
O=C([CH]NC(=O)c1ccc2ccccc2n1)N[C]([CH]CN1[CH]C[C]2CCCC[C]2C1)Cc1ccccc1,1
O=C([CH]NS(=O)(=O)c1cccc2c1NCCC2)N1[CH]C[CH]CC1,1
O=C([CH]N[CH]CCc1ccccc1)N1[CH]Cc2ccccc2C1,1
O=C([CH][CH]c1ccccc1)O[C]1C=C2[CH]C(=O)C3[CH]C[C]4OCC4[C]3[C](OC(=O)c3ccccc3)C(C1)C2,1
O=C(c1ccccc1)c1ccc2n1CCC2,1
O=C1C(=O)c2ccccc2C=C1C1CCC(c2ccccc2)CC1,1
O=C1C=C2C3CCCCC3CCC2C2CCC3CCCCC3C12,1
O=C1C=C2CCC3C4CCC5(CCC(=O)O5)C4CC4OC43C2CC1,1
O=C1C=CC(=O)C2=C1CC1C3NC3CN21,1
O=C1C=CC(=O)C2=C1[CH]C1[C]3N[C]3CN21,1
O=C1C=CC(=O)C=C1,1
O=C1C=CC(=O)c2ccccc21,1
O=C1C=CC(OC(=O)C2CC2)C1,1
O=C1C=CC=CC1=C1NC(=C2C=CC=CC2=O)N(c2ccccc2)N1,1
O=C1C=CC=C[CH][CH][CH][CH][CH][CH][CH][CH]C=COC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,1
O=C1C=CCC2(CC3CCC2CN3)O1,1
O=C1C=CCCC1,1
O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,1
O=C1CC(=O)NC(=S)N1,1
O=C1CC2CC2C1,1
O=C1CC2N1CC(Cn1ccnn1)S2(=O)=O,1
O=C1CC2OCC3CC(=O)C4C(CCC5C(c6ccoc6)OC(=O)C6OC654)C32CO1,1
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1
O=C1CC=CCCCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C=CC2CCCCC2)CCC1,1
O=C1CCC2C(CCC3C4CC(=O)C(CCCC5CO5)=C4CCC23)C1,1
O=C1CCC2C(CCC3C4CCC=C4CCC23)C1,1
O=C1CCCC2C3CCCN4CCCC(CN12)C34,1
O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=CCCCCO1)O2,1
O=C1CCCCNC(=O)C2CCCN2C(=O)CNC(=O)C(CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,1
O=C1CCCN1,1
O=C1CCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,1
O=C1CCCc2ncccc2C(=O)OCC2OC34CC2CCC3CC(OC(=O)c2ccccc2)C(C4)O1,1
O=C1CCO1,1
O=C1CCOC2OC3CCCCC3OC12,1
O=C1CCc2ccc(OCc3cccc(-c4ccccc4)c3)cc21,1
O=C1CCc2ccc(Oc3ccccc3)cc21,1
O=C1CCc2ccccc2C2CCCCN12,1
O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)CSSCCN1,1
O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,1
O=C1COC(=O)N1,1
O=C1COC(=O)N1c1ccccc1,1
O=C1C[CH]C[CH]CC[CH][CH]C[CH]CC2C[CH][CH][C](C[C](OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=C[CH][CH][CH][CH]O1)O2,1
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,1
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,1
