scaffold,frequency
c1ccc(C2OCc3ccccc32)cc1,1
c1ccc(CCNCCCOc2ccccc2)cc1,1
c1ccc(CCNCCc2ccccc2)cc1,1
c1ccc(CCc2cnc3ncncc3n2)cc1,1
c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,1
c1ccc(COc2ccccc2)cc1,1
c1ccc(CSC(Cn2ccnc2)c2ccccc2)cc1,1
c1ccc(Cn2ncc3ccccc32)cc1,1
c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,1
c1ccc(Nc2ccccn2)cc1,1
c1ccc2[nH]ccc2c1,1
c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,1
c1ccc2c(c1)CCC1C2CCC2CCCC21,1
c1ccc2c(c1)CCCC2,1
c1ccc2c(c1)CCCC2C1=NCCN1,1
c1ccc2c(c1)CCNC2CC1CCN2CCc3ccccc3C2C1,1
c1ccc2c(c1)CCc1ccccc1N2,1
c1ccc2c(c1)N[C]1NCCC12,1
c1ccc2c(c1)[nH]c1ccccc12,1
c1ccc2c3c([nH]c2c1)COCC3,1
c1ccc2ncccc2c1,1
c1ccc2scnc2c1,1
c1cn(CCN2CCOCC2)cn1,1
c1cncc(C2CCCN2)c1,1
