scaffold,frequency
CC(CC1CCCCC1)CC(C)(C)C1CCC2CCCCC21,1
CC(CC1CCCCC1)CC(C)(C)C1CCCCC1C(C)CC1CCC1,1
CC(CC1CCCCC1)CC(CCC1CCCCC1)C(C)CCC(C)CC(CC1CCCCC1)C(C)CCC(C)C1CC1,1
CC(CC1CCCCC1)CC1CCC(CCCCC2CCCCC2)CC1,1
CC(CC1CCCCC1)CC1CCCC1,1
CC(CC1CCCCC1)CC1CCCCC1,1
CC(CC1C[C]2CCC(C1)C21CCCC1)C(C1CCCCC1)C1CCCCC1,1
CC(CCC(C)(C)C1CCCC2CCCCC21)C1CCCCC1,1
CC(CCC1CC(C)C(C)C(C(C)CCC2CCCCC2)C1)C1CCCC1,1
CC(CCC1CCC(CCC2CCCCC2)CC1)C1CCCCC1,1
CC(CCC1CCCC1)CC1CCCCC1,1
CC(CCC1CCCCC1)CCC1CCCC(CC2CCCCC2)C1,1
CC(CCC1CCCCC1)CCC1CCCCC1,1
CC(CCC1C[C]2CCC1C2)C1C2CCC3(CC(CC4CCCCC4)C(C)C13)C2,1
CC(CCC1C[C]2CCC1C2)C1C2CCC3(CC(CCC4CCCCC4)C(C)C13)C2,1
CC(CCCC(C)C1CCCC2CCC(CC3CCC(C4CCCCC4C4CCCC4)CC3)C21)CC1CCCCC1,1
CC(CCCCC(C)C(CC(C)C1CCCCC1)C(CC1CCCCC1CC1CCCCC1)C1CCCC1)CCC(C)CCCC1CCC(C2CCCC2)C1,1
CC(CCCCC1CCCCC1)C1CCCC1,1
CC(CCCCCC1CCC2CCC(C)C2C1)CCCC1CCCCC1,1
CC(C[CH]C1CCCCC1)C[C]1CC2[CH]C(C)C3[CH]C[C]4CCC4[C]3[C](CC(C)C3CCCCC3)C(C1)C2,1
CC(C[C]([CH]CCC(C)(C)C1CCCCC1)CC1CCCCC1)C[C]1CCCC1,1
CC(C[C]1C2CCCCC2C(C)C1C1CCCCC1)C1CCCCC1,1
CC(C[C]1[CH]CC2CCCCC12)[C](C[CH]CC1[CH]CC(CC2CCCCC2)CC1)CC1CCCCC1,1
CC(C[C]1[C]2CCC(CC3CCCC3)CC2C1C)C(C)C1CCCC1,1
CC(C[C]1[C]2CCC(CC3CCCCC3)CC2C1C)C(C)C1CCCC1,1
CC(C[C]1[C]2CCC(CC3CCCCC3)CC2C1C)CC1CCCC1,1
CC(C[C]1[C]2CCCCC2C1C)C(C)C1CCCC1,1
CC([CH]CC(C)(C)C1CCCC2CCCCC21)C1[CH]C[CH]CC1,1
CC([CH]CC(C)C1CCC2CCCCC2C1)C[C]([CH]CC1[CH]C[C]2CCCC[C]2C1)CC1CCCCC1,1
CC([CH]CC1CCCCC1)CCCCCC(C)(CCCCCC(C)CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)CCCCC1CCC2CCCCC21,1
