scaffold,frequency
CC1CC[C]2[C]3CCC4CCC[C]4[C]3CCC2C1,2
CC1CC[C]2[C]3CCCC24[C]1CC1CCCC(C3)C14,2
CC1C[CH]C[C](CC[C]2[CH]CCC3C[CH]C[CH][C]23)C1,2
CC1[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]CC(C)[C](CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)C2CCC(C3CCCCC3)CC2)CCCC(C)[CH]CC(C)[CH]C1,2
CC1[CH]CC(C)[CH]CC(C)[C](CC2CCCCC2)CC(C)[CH]CC(C)[C](CC(C)[CH]CC(C)[CH]CC(C)[CH]CC(C)CC2CCCCC2)CCCC(C)[CH]CC(C)[CH]C1,2
CC1[CH]C[CH]CC1CCC1CCCC2[CH]CC[C]21,2
CC1[CH][CH]CC[CH]C(C)C[C]([CH]C[C]2C[CH][CH]CC2)CC(C)[C]2CCCCC2C(C)C(C)C2[CH]CC[C](C[CH]CCCCCC[CH]C[CH]1)C2,2
CC1[CH][CH]C[C]1C1CCC2C(C)CCCC12,2
CC1[CH][C]2[CH]C(C[C]3C[CH]CC3)CC21,2
[CH](C1CCCCC1)C1CCCCC1,2
[CH]1CC[C]2[CH]CC[C]12,2
[CH]1CC[C]2[C]3CCC4CCCCC4[C]3CCC12,2
[CH]1C[C]2CCCC[C]2C1,2
[CH]1[CH][CH]CC[CH]1,2
[CH]1[CH][CH]C[CH]1,2
[CH]1[CH][CH]C[CH][CH]1,2
C(CCC1CCC2CCCCC12)CC1CCC(C2CCC3CCCC3C2)CC1,1
C(CCCC1CCCCC1)CCCC1CCCCC1,1
C1C2C3C4CC5C3C1C5C24,1
C1CC(CC2CCC34C5CCCC3C2CC2CCCC(C5)C24)C1,1
C1CC(CC2CCC34CCCCC3C2CC2CCCCC24)C1,1
C1CC(CC2CCC34CCCCC3[C]2CC2CCCCC24)C1,1
C1CC2CC(C1)C2,1
C1CC2CC(C1)CC1C3CCCCC3CC1C(C1CCC3CC4CCC5CCCC6CCC4(C3C1)C56)C2,1
C1CC2CC3CC4CCC5CCCC(C3CC2C1)C54,1
C1CC2CC3CCC4C5CCCC5CCC4C3CC2C1,1
C1CC2CC3CCCC45C(CCCC34)CC(C1)C25,1
C1CC2CCC1CC2,1
C1CC2CCC3CCCC3C2C1,1
C1CC2CCCC(C3CC3)C2C1,1
C1CCC(C(C2CCCCC2)C2CCC(CCC3CCC4CCCC4C3)C2)CC1,1
C1CCC(C(CC2CCCC2)C2CCCCC2)CC1,1
C1CCC(C(CC2C[C]3CC[C](C3)C2)C2CCCCC2)CC1,1
C1CCC(C(CCC2CCC3CCCCC32)CC2CCCC2)CC1,1
C1CCC(C(CCCC2CCCC2)C2CCCCC2)CC1,1
C1CCC(C(CCC[C]2CCCC2)C2CCCCC2)CC1,1
C1CCC(C([C]2CCC(CCC3CCC4CCCC4C3)C2)C2CCCCC2)CC1,1
C1CCC(C2(C3CCCCC3)CCCC2)CC1,1
C1CCC(C2(CC3CCCC3)CCCC2)CC1,1
C1CCC(C2C3CCCCC3CCC3CCCC32)CC1,1
C1CCC(C2CC(C3CC3)CC3CCCCC32)CC1,1
C1CCC(C2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1,1
C1CCC(C2CC2CC2CCCC3C(C4CCCC4)CCC23)CC1,1
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,1
C1CCC(C2CCC(CC(CC3CCCC3)C3CCCCC3)C2)CC1,1
C1CCC(C2CCC(CC3CCC4CCC(C5CC6CCCCC6C5)CC43)CC2)CC1,1
C1CCC(C2CCC2)CC1,1
C1CCC(C2CCC3CCCCC3C2)CC1,1
C1CCC(C2CCCC(CC3CCC(CC4CCCC4)CC3)C2)CC1,1
C1CCC(C2CCCC3CCCC32)C1,1
C1CCC(C2CCCC3CCCC32)CC1,1
C1CCC(C2CCCCCC3CCCCC32)CC1,1
C1CCC(CC(CC2CCCC2)C2CCCCC2)CC1,1
C1CCC(CC(CCC2CCCC2)C2CCCCC2)CC1,1
C1CCC(CC2C3CCCCC3CC3CCCCC32)CC1,1
C1CCC(CC2CC(C3CCCCC3)C3CCCCC23)CC1,1
C1CCC(CC2CC3CCCCC3C2)CC1,1
C1CCC(CC2CCC(C(C3CCCCC3)C3CCCCC3)CC2)CC1,1
C1CCC(CC2CCC(CC3CCC4C(CCC5C4CCC4C6CCCCC6CCC45)C3)C(CC3CCCCC3)C2)CC1,1
C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1,1
C1CCC(CC2CCC(CCC3CCCC3)CC2)CC1,1
C1CCC(CC2CCC3C(CCC4C3CCC3C5CCCCC5CCC34)C2)CC1,1
C1CCC(CC2CCC3CCCC3C2)C1,1
C1CCC(CC2CCC3CCCC3C2)CC1,1
C1CCC(CC2CCC3CCCCC32)CC1,1
C1CCC(CC2CCCC(C3CC3)C2)CC1,1
C1CCC(CC2CCCC(C3CCCCC3)C2)CC1,1
C1CCC(CC2CCCC(CC3CCC4CCCC4C3)C2)CC1,1
C1CCC(CC2CCCC2CC2CCCCC2)CC1,1
C1CCC(CC2CCCC3CC(CC4CCCC4)CCC23)CC1,1
C1CCC(CC2CCCC3CCCC32)C1,1
C1CCC(CC2CCCCC2C2CCCCC2)CC1,1
C1CCC(CCC(CC2CCCC2)C2CCCCC2)CC1,1
C1CCC(CCC(CC2CCCCC2)CC2CCCC2)CC1,1
C1CCC(CCC2C3CCCCC3CC3CCCCC32)CC1,1
C1CCC(CCC2CC3CCC2C3)CC1,1
C1CCC(CCC2CCCC(C3CCC(CCC4CC4)CC3)C2)CC1,1
C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,1
C1CCC(CCC2CCCC2)C1,1
C1CCC(CCC2CCCC3CCCC32)C1,1
C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1,1
C1CCC(CCCC2CCCC3CCCCC32)CC1,1
C1CCC(CCCC2CCCCC2)CC1,1
C1CCC(CCCCC2CC2)CC1,1
C1CCC(CCCCC2CCC(C3CCC4CCCCC43)CC2)CC1,1
C1CCC(CCCCC2CCC3C(CC4CCCCC4)CCCC3C2)CC1,1
C1CCC(CCCCC2CCC3CCCC(CC4CCCCC4)C3C2)CC1,1
C1CCC(CCCCC2CCCC(CC3CCCCC3)C2)CC1,1
C1CCC(CCCCC2CCCCC2)CC1,1
C1CCC([C](C2CCCCC2)C2CCCCC2)CC1,1
C1CCC([C]2CCCC[C]2CCC2CCC3CCCC3C2)CC1,1
C1CCC2(C1)CC1CCC2CC1,1
C1CCC23CC4CC(C5CCC4C52)C3C1,1
C1CCC23CC4CC(CC(C4)C2C1)C3,1
C1CCC2C(C1)C1CCC2C2CCCCC21,1
C1CCC2C(C1)CC1CC2CC2C3CCCC3CCC12,1
C1CCC2C(C1)CC1CCCC23C2CCCC13C1CCCCC1C2,1
C1CCC2C(C1)CC1CCCC2C1,1
C1CCC2C(C1)CC1CCCC3CCCC2C31,1
C1CCC2C(C1)CC1CCCCC1C1CCCC21,1
C1CCC2C(C1)CC1CCCCC1C1CCCCC21,1
C1CCC2C(C1)CCC1C2CCC2C3CCCCC3CCC21,1
C1CCC2C(C1)CCC1CCC3CCCC3C12,1
C1CCC2C(C1)CCC1CCCC12,1
C1CCC2C(C1)CCC1CCCCC12,1
C1CCC2C(C1)CCC2CC1CCC(C2CCCCC2C2CCCC2)CC1,1
C1CCC2C(C1)C[C]1CCCC12,1
C1CCC2C(C1)C[C]1CCCC3CCCC2C13,1
C1CCC2CC(C3CCC4CCCCC4C3)CCC2C1,1
C1CCC2CC(C3CCCC(C45CC6CC(CC(C6)C4)C5)C3)CCC2C1,1
C1CCC2CC3C(CCC4C3CC35CC6CCCC3C6CCC45)CC2C1,1
C1CCC2CC3C(CCC4C5CCCCC5CC34)CC2C1,1
C1CCC2CC3C4CCCC(C4)C3CC2C1,1
C1CCC2CC3CCCC3CC2C1,1
C1CCC2CCC(C3CCCC3)C2CC1,1
C1CCC2CCCCC2C2CCCCC2C1,1
C1CCCCCC1,1
C1CC[C](C2CC(C3CCC(CC4CCCCC4)CC3)C3CCCCC23)CC1,1
C1CC[C]([C](CC2CCCCC2)C2CCCCC2)CC1,1
C1CC[C]2[C](C1)CCC1CCCCC21,1
C1C[C]2C[C](C1)C1CC3CCCCC3CC21,1
C1C[C]2[C]3CCC4CC5CCCC5CC4[C]3CCC2C1,1
CC(C)(C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1)C1CC1,1
CC(C)(C1CCCCC1)C1CCCCC1,1
CC(C)(CC1CC2CCCCC2C1)C1CCCCC1,1
CC(C)(CC1CCC2CCCC2C1)C1CCCC1,1
CC(C)(CC1CCCC(C2CCCC2C2CCCCC2)C1)C1CCCCC1,1
CC(C)(CC1CCCCC1)C1CCC(CCC2CCCCC2)CC1,1
CC(C)(CC1CCCCC1)C1CCCCC1,1
CC(C)(CCC1CCCCC1)C1CCCCC1,1
CC(C)(CC[C]1CC[CH]CC1)C1CCCCC1,1
CC(C1CC1)(C1CC1)C1CC1,1
CC(C1CC1)C(C1CCCCC1)C1CCC2CCCC2C1,1
CC(C1CCCCC1)C1CCC2C(CCC2C2CCCC2)C1,1
CC(C1CCCCC1)C1CCC2CCCC21,1
CC(C1CCCCC1)C1CCC2CCCC2C1,1
CC(C1CCCCC1)C1CCC2CCCCC21,1
CC(C1CCCCC1)C1CCCCC1CC1CCCC(CC2CCCCC2)C1,1
CC(C1[CH]CCC(C2CC3CCCCC3C2)CC1)C1CCCCC1C1CCCC1,1
CC(CC1C(C)C2CC(CC3CCCCC3)CCC21)C(C)C1CCCC1,1
CC(CC1C(C)C2CC(CCC3CCCC3)CCC21)C(C)C1CCCC1,1
CC(CC1C(C)C2CCCC21)C1CCCC1C1CCCCC1,1
CC(CC1C2CCCCC2C(C)C1C1CCCCC1)C1CCCCC1,1
CC(CC1CC2CC(C)C3CCC4CCC4C3C(CC(C)C3CCCCC3)C(C1)C2)CC(CC(C)C1CCCCC1)C1CCCCC1,1
CC(CC1CC2CCC(C1)C21CCCC1)C(C1CCCCC1)C1CCCCC1,1
CC(CC1CC2CCC(C2)C1)C1CCCCC1,1
CC(CC1CC2CCCC(C2)C1)C1CCC2CCCCC21,1
CC(CC1CCC(C(C)C2CCCCC3CCCCC32)CC1)C1CCCCC1,1
CC(CC1CCC(C(C)C2CCC[CH]C3CCCCC32)CC1)C1CCCCC1,1
CC(CC1CCCC(C2CCCCC2)C1)C1CCCCC1,1
CC(CC1CCCC1)C(C1CCCCC1)C1CCCC1,1
CC(CC1CCCC1)C1CC(C)(C)C2CCCCC2C1C,1
CC(CC1CCCC1)C1CC2CCCCC2C(C)(C)C1,1
CC(CC1CCCC1)C1CCCCC1,1
CC(CC1CCCC1)CC1C(C)C2CC(CCC3CCCC3)CCC12,1
CC(CC1CCCC1)CC1C(C)C2CCCCC21,1
CC(CC1CCCC1)CC1CCC(CCCC[CH]C2CCCCC2)CC1,1
CC(CC1CCCC1)CC1[C]2CCCCC2C1C,1
CC(CC1CCCCC(C)C2CCCC2C(C)CCC(C)C(CCC2CCCCC2)CC(C)C2CCCC2C(C)CCC1C)C1CCC(C2CCC(C3CCCCC3)C2)CC1,1
CC(CC1CCCCC1)C(C1CCCCC1)C1CCCCC1,1
CC(CC1CCCCC1)C1CC(C)(C)C2CCCCC2C1C,1
CC(CC1CCCCC1)C1CC1,1
CC(CC1CCCCC1)C1CC2CCCCC2C(C)(C)C1,1
CC(CC1CCCCC1)C1CCC(C2C3CCCCC3CCC3CCCCC32)CC1,1
CC(CC1CCCCC1)C1CCC2CCCCC2C1C,1
CC(CC1CCCCC1)C1CCCC(CCC2CC2)C1,1
CC(CC1CCCCC1)C1CCCC1,1
CC(CC1CCCCC1)C1CCCC2CCCC21,1
CC(CC1CCCCC1)CC(C)(C)C1CCC(CCCC(C)C2CCCCC2)CC1,1
CC(CC1CCCCC1)CC(C)(C)C1CCC2CCCCC21,1
CC(CC1CCCCC1)CC(C)(C)C1CCCCC1C(C)CC1CCC1,1
CC(CC1CCCCC1)CC(CCC1CCCCC1)C(C)CCC(C)CC(CC1CCCCC1)C(C)CCC(C)C1CC1,1
CC(CC1CCCCC1)CC1CC2CCC(C2)C1,1
CC(CC1CCCCC1)CC1CCC(CCCCC2CCCCC2)CC1,1
CC(CC1CCCCC1)CC1CCCC1,1
CC(CC1CCCCC1)CC1CCCCC1,1
CC(CC1CCCCC1)CC1C[C]2CC[C](C2)C1,1
CC(CC1CCCCCC1)CC(C)(C)C1CCCCC1,1
CC(CC1C[C]2CCC(C1)C21CCCC1)C(C1CCCCC1)C1CCCCC1,1
CC(CC1C[C]2CCC[C]2C1)CC(C)(C)C1CCCCC1,1
CC(CC1C[C]2CC[C](C2)C1)C1CCC2CCCCC21,1
CC(CCC(C)(C)C1CCCC2CCCCC21)C1CCCCC1,1
CC(CCC(C)(C)C1CCCCC1)CC1CCCCC1,1
CC(CCC(C)C1CCCCC1)C1CCCCC1,1
CC(CCC12CC3CC(CC(C3)C1)C2)C1CCCC1,1
CC(CCC12CC3CC(CC(C3)C1)C2)C1[CH]CCC1,1
CC(CCC1CC(C)C(C)C(C(C)CCC2CCCCC2)C1)C1CCCC1,1
CC(CCC1CCC(CCC2CCCCC2)CC1)C1CCCCC1,1
CC(CCC1CCCC1)C1CCCCC1,1
CC(CCC1CCCC1)CC1CCCCC1,1
