variant,base_model,calibration,threshold_objective,threshold,internal_auroc_mean,internal_auroc_std,internal_accuracy_mean,internal_accuracy_std,internal_f1_mean,internal_f1_std,internal_kappa_mean,internal_kappa_std,external_auroc,external_accuracy,external_f1,external_kappa,coverage
blend_hybrid_stacking__cal_none__thr_kappa,blend_hybrid_stacking,none,kappa,0.4300000000000001,0.9063995215311005,0.0038061967886835204,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.851140350877193,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
blend_hybrid_stacking__cal_sigmoid__thr_f1,blend_hybrid_stacking,sigmoid,f1,0.4300000000000001,0.9063995215311005,0.0038061967886835204,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.851140350877193,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
blend_hybrid_stacking__cal_sigmoid__thr_kappa,blend_hybrid_stacking,sigmoid,kappa,0.4300000000000001,0.9063995215311005,0.0038061967886835204,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.851140350877193,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
blend_inverse_stacking__cal_isotonic__thr_f1,blend_inverse_stacking,isotonic,f1,0.37000000000000005,0.9043062200956937,0.00132914808493709,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.8527412280701755,0.7814569536423841,0.7828947368421053,0.5629714085248202,1.0
stacking_combo_logreg__cal_isotonic__thr_f1,stacking_combo_logreg,isotonic,f1,0.35000000000000003,0.9014439507860561,0.006343661314472717,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.8506578947368422,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
blend_hybrid_stacking__cal_isotonic__thr_f1,blend_hybrid_stacking,isotonic,f1,0.35000000000000003,0.9013585099111414,0.006464492958557936,0.8071895424836601,0.0046216129489316665,0.8034766454352442,0.016701832145860653,0.6144814077740955,0.00893815938335844,0.8500657894736843,0.7781456953642384,0.780327868852459,0.556369217276913,1.0
concat_r2_desc_logreg__cal_none__thr_f1,concat_r2_desc_logreg,none,f1,0.4400000000000001,0.870087149692413,0.005860334738131843,0.803921568627451,0.009243225897863333,0.8015462798071493,0.025921822669567208,0.6079032050964182,0.01805775650068713,0.7545175438596492,0.695364238410596,0.7032258064516129,0.3909688733011837,1.0
concat_r2_desc_logreg__cal_none__thr_kappa,concat_r2_desc_logreg,none,kappa,0.4400000000000001,0.870087149692413,0.005860334738131843,0.803921568627451,0.009243225897863333,0.8015462798071493,0.025921822669567208,0.6079032050964182,0.01805775650068713,0.7545175438596492,0.695364238410596,0.7032258064516129,0.3909688733011837,1.0
descriptor_logreg__cal_isotonic__thr_f1,descriptor_logreg,isotonic,f1,0.34,0.8525290498974709,0.002054137949448244,0.7941176470588236,0.023108064744658412,0.8002904865649964,0.014378351396676384,0.588081892055671,0.04645597353912208,0.7166447368421052,0.6655629139072847,0.6688524590163935,0.33124314843236136,1.0
concat_r2_desc_logreg__cal_isotonic__thr_f1,concat_r2_desc_logreg,isotonic,f1,0.31,0.8674812030075187,0.0065249087806003876,0.8006535947712419,0.01386483884679508,0.799931833674165,0.031330566310242405,0.6013228416785023,0.02727205548666855,0.7445394736842107,0.6986754966887417,0.707395498392283,0.39761518565604315,1.0
knn_mean_r3__cal_sigmoid__thr_f1,knn_mean_r3,sigmoid,f1,0.4400000000000001,0.8858082706766917,0.0036853651445983805,0.8071895424836601,0.013864838846795,0.7979656588279209,0.02520668070299187,0.6146186896013,0.02745715317828156,0.8521929824561404,0.7483443708609272,0.7304964539007093,0.49626898428583976,1.0
knn_mean_r3__cal_sigmoid__thr_kappa,knn_mean_r3,sigmoid,kappa,0.4400000000000001,0.8858082706766917,0.0036853651445983805,0.8071895424836601,0.013864838846795,0.7979656588279209,0.02520668070299187,0.6146186896013,0.02745715317828156,0.8521929824561404,0.7483443708609272,0.7304964539007093,0.49626898428583976,1.0
lgbm_morgan_r2_only__cal_none__thr_f1,lgbm_morgan_r2_only,none,f1,0.39000000000000007,0.9046052631578947,0.0067061562467281375,0.8006535947712419,0.0046216129489316665,0.7978583916083917,0.020706361162368295,0.6013798390523435,0.008832323768832615,0.8228947368421053,0.7615894039735099,0.7692307692307693,0.5234087322461862,1.0
lgbm_morgan_r2_only__cal_none__thr_kappa,lgbm_morgan_r2_only,none,kappa,0.39000000000000007,0.9046052631578947,0.0067061562467281375,0.8006535947712419,0.0046216129489316665,0.7978583916083917,0.020706361162368295,0.6013798390523435,0.008832323768832615,0.8228947368421053,0.7615894039735099,0.7692307692307693,0.5234087322461862,1.0
concat_r2_desc_logreg__cal_sigmoid__thr_f1,concat_r2_desc_logreg,sigmoid,f1,0.4400000000000001,0.870087149692413,0.005860334738131843,0.8006535947712419,0.0046216129489316665,0.7978583916083917,0.020706361162368295,0.6013798390523435,0.008832323768832615,0.7545175438596492,0.695364238410596,0.7032258064516129,0.3909688733011837,1.0
descriptor_logreg__cal_none__thr_f1,descriptor_logreg,none,f1,0.4500000000000001,0.8525290498974709,0.0057999189160891544,0.7908496732026145,0.018486451795726746,0.796377517868746,0.00884457799729769,0.5815629730728429,0.037236829901595186,0.7180263157894736,0.6721854304635762,0.6732673267326733,0.34442836468885674,1.0
descriptor_logreg__cal_none__thr_kappa,descriptor_logreg,none,kappa,0.4500000000000001,0.8525290498974709,0.0057999189160891544,0.7908496732026145,0.018486451795726746,0.796377517868746,0.00884457799729769,0.5815629730728429,0.037236829901595186,0.7180263157894736,0.6721854304635762,0.6732673267326733,0.34442836468885674,1.0
meta_logreg_knn_plus_lgbm__cal_none__thr_f1,meta_logreg_knn_plus_lgbm,none,f1,0.5000000000000002,0.9047761449077238,0.004410355009109613,0.8104575163398693,0.018486451795726666,0.7957812116752514,0.035936356404673186,0.6212724621296376,0.03657401085123044,0.8603508771929824,0.7682119205298014,0.7619047619047619,0.5362814775818198,1.0
meta_logreg_knn_plus_lgbm__cal_none__thr_kappa,meta_logreg_knn_plus_lgbm,none,kappa,0.5000000000000002,0.9047761449077238,0.004410355009109613,0.8104575163398693,0.018486451795726666,0.7957812116752514,0.035936356404673186,0.6212724621296376,0.03657401085123044,0.8603508771929824,0.7682119205298014,0.7619047619047619,0.5362814775818198,1.0
meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_f1,meta_logreg_knn_plus_lgbm,sigmoid,f1,0.5000000000000002,0.9047761449077238,0.004410355009109613,0.8104575163398693,0.018486451795726666,0.7957812116752514,0.035936356404673186,0.6212724621296376,0.03657401085123044,0.8603508771929824,0.7682119205298014,0.7619047619047619,0.5362814775818198,1.0
meta_logreg_knn_plus_lgbm__cal_sigmoid__thr_kappa,meta_logreg_knn_plus_lgbm,sigmoid,kappa,0.5000000000000002,0.9047761449077238,0.004410355009109613,0.8104575163398693,0.018486451795726666,0.7957812116752514,0.035936356404673186,0.6212724621296376,0.03657401085123044,0.8603508771929824,0.7682119205298014,0.7619047619047619,0.5362814775818198,1.0
distance_inverse_knn_r2__cal_none__thr_f1,distance_inverse_knn_r2,none,f1,0.5000000000000002,0.8980263157894737,0.005618671449961563,0.7973856209150327,0.009243225897863411,0.7939521800281294,0.02287405902572515,0.5948654469996455,0.018139920354233393,0.8493201754385965,0.7781456953642384,0.7774086378737541,0.5562913907284768,1.0
distance_inverse_knn_r2__cal_none__thr_kappa,distance_inverse_knn_r2,none,kappa,0.5000000000000002,0.8980263157894737,0.005618671449961563,0.7973856209150327,0.009243225897863411,0.7939521800281294,0.02287405902572515,0.5948654469996455,0.018139920354233393,0.8493201754385965,0.7781456953642384,0.7774086378737541,0.5562913907284768,1.0
descriptor_logreg__cal_sigmoid__thr_f1,descriptor_logreg,sigmoid,f1,0.4300000000000001,0.8523581681476418,0.005679087272004094,0.7908496732026145,0.009243225897863411,0.793577408471823,0.001590393859972175,0.5816412145388843,0.018691042443512895,0.7180263157894736,0.6721854304635762,0.6688963210702341,0.3443133470766262,1.0
descriptor_logreg__cal_isotonic__thr_kappa,descriptor_logreg,isotonic,kappa,0.46000000000000013,0.8525290498974709,0.002054137949448244,0.7973856209150327,0.0,0.79288227695871,0.013669072336865267,0.5948922364668701,0.00034253179483066475,0.7166447368421052,0.6887417218543046,0.6642857142857143,0.37690956979806844,1.0
knn_mean_r3__cal_isotonic__thr_f1,knn_mean_r3,isotonic,f1,0.4000000000000001,0.8828178400546822,0.0006645740424686235,0.8006535947712419,0.0046216129489316665,0.7926683245832182,0.01771511876970997,0.6015149672695165,0.008925691339102095,0.8491666666666666,0.7516556291390728,0.7368421052631579,0.5029624753127058,1.0
descriptor_logreg__cal_sigmoid__thr_kappa,descriptor_logreg,sigmoid,kappa,0.46000000000000013,0.8523581681476418,0.005679087272004094,0.7941176470588236,0.0046216129489317455,0.7903425688235814,0.010077382647697114,0.5883364522801142,0.009613810703731926,0.7180263157894736,0.6887417218543046,0.6642857142857143,0.37690956979806844,1.0
distance_exponential_knn_r2__cal_sigmoid__thr_f1,distance_exponential_knn_r2,sigmoid,f1,0.48000000000000015,0.9151144907723856,0.004893681585450409,0.803921568627451,0.018486451795726746,0.7878787878787878,0.042854956435548375,0.60821880301983,0.03641951899115611,0.8479166666666667,0.7682119205298014,0.75,0.5359964881474979,1.0
distance_exponential_knn_r2__cal_sigmoid__thr_kappa,distance_exponential_knn_r2,sigmoid,kappa,0.48000000000000015,0.9151144907723856,0.004893681585450409,0.803921568627451,0.018486451795726746,0.7878787878787878,0.042854956435548375,0.60821880301983,0.03641951899115611,0.8479166666666667,0.7682119205298014,0.75,0.5359964881474979,1.0
distance_exponential_knn_r2__cal_isotonic__thr_f1,distance_exponential_knn_r2,isotonic,f1,0.33,0.9091336295283663,0.00042291075429810784,0.8104575163398693,0.0,0.7871873158712304,0.021968071835031234,0.6214484063060461,0.0004567466921422953,0.8406140350877194,0.7649006622516556,0.7360594795539034,0.5291404980455883,1.0
distance_exponential_knn_r2__cal_isotonic__thr_kappa,distance_exponential_knn_r2,isotonic,kappa,0.33,0.9091336295283663,0.00042291075429810784,0.8104575163398693,0.0,0.7871873158712304,0.021968071835031234,0.6214484063060461,0.0004567466921422953,0.8406140350877194,0.7649006622516556,0.7360594795539034,0.5291404980455883,1.0
lgbm_morgan_r2_only__cal_sigmoid__thr_kappa,lgbm_morgan_r2_only,sigmoid,kappa,0.5000000000000002,0.9046052631578947,0.0067061562467281375,0.8006535947712419,0.01386483884679508,0.7863264511102455,0.03057610156279973,0.6016599104154419,0.027345339356026278,0.8228947368421053,0.7615894039735099,0.7534246575342466,0.522990522990523,1.0
hybrid_knn_prob_logreg__cal_none__thr_f1,hybrid_knn_prob_logreg,none,f1,0.49000000000000016,0.8932843472317157,0.004229107542981864,0.8006535947712419,0.023108064744658412,0.7856725146198831,0.04259181196620725,0.601671013183046,0.04576793277019467,0.8586842105263158,0.7748344370860927,0.7638888888888888,0.5494119712129191,1.0
hybrid_knn_prob_logreg__cal_none__thr_kappa,hybrid_knn_prob_logreg,none,kappa,0.49000000000000016,0.8932843472317157,0.004229107542981864,0.8006535947712419,0.023108064744658412,0.7856725146198831,0.04259181196620725,0.601671013183046,0.04576793277019467,0.8586842105263158,0.7748344370860927,0.7638888888888888,0.5494119712129191,1.0
hybrid_knn_prob_logreg__cal_sigmoid__thr_f1,hybrid_knn_prob_logreg,sigmoid,f1,0.49000000000000016,0.8932843472317157,0.004229107542981864,0.8006535947712419,0.023108064744658412,0.7856725146198831,0.04259181196620725,0.601671013183046,0.04576793277019467,0.8586842105263158,0.7715231788079471,0.7612456747404844,0.5428057396112159,1.0
hybrid_knn_prob_logreg__cal_sigmoid__thr_kappa,hybrid_knn_prob_logreg,sigmoid,kappa,0.49000000000000016,0.8932843472317157,0.004229107542981864,0.8006535947712419,0.023108064744658412,0.7856725146198831,0.04259181196620725,0.601671013183046,0.04576793277019467,0.8586842105263158,0.7715231788079471,0.7612456747404844,0.5428057396112159,1.0
weighted_knn_r2__cal_none__thr_f1,weighted_knn_r2,none,f1,0.49000000000000016,0.8945659603554341,0.001933306305363104,0.7875816993464052,0.0046216129489316665,0.7851153039832286,0.010376829074016445,0.5752316189933069,0.009626505493631227,0.8566008771929825,0.7715231788079471,0.7692307692307693,0.5430062722049213,1.0
weighted_knn_r2__cal_none__thr_kappa,weighted_knn_r2,none,kappa,0.49000000000000016,0.8945659603554341,0.001933306305363104,0.7875816993464052,0.0046216129489316665,0.7851153039832286,0.010376829074016445,0.5752316189933069,0.009626505493631227,0.8566008771929825,0.7715231788079471,0.7692307692307693,0.5430062722049213,1.0
hybrid_knn_prob_logreg__cal_isotonic__thr_f1,hybrid_knn_prob_logreg,isotonic,f1,0.3,0.8867053998632946,0.0028999594580446167,0.8071895424836601,0.032351290642521825,0.7850047056363065,0.05220301030196613,0.6149017321313991,0.06427123842325155,0.8460964912280702,0.7649006622516556,0.73992673992674,0.5292232029157335,1.0
hybrid_knn_prob_logreg__cal_isotonic__thr_kappa,hybrid_knn_prob_logreg,isotonic,kappa,0.3,0.8867053998632946,0.0028999594580446167,0.8071895424836601,0.032351290642521825,0.7850047056363065,0.05220301030196613,0.6149017321313991,0.06427123842325155,0.8460964912280702,0.7649006622516556,0.73992673992674,0.5292232029157335,1.0
blend_inverse_hybrid_logreg__cal_none__thr_f1,blend_inverse_hybrid_logreg,none,f1,0.5000000000000002,0.8958048530416951,0.0013895639069797776,0.7973856209150327,0.02772967769359008,0.7847063310450038,0.04395820188154355,0.5950885867578191,0.055076889494073585,0.8588157894736843,0.7781456953642384,0.7681660899653979,0.5560577471587169,1.0
blend_inverse_hybrid_logreg__cal_none__thr_kappa,blend_inverse_hybrid_logreg,none,kappa,0.5000000000000002,0.8958048530416951,0.0013895639069797776,0.7973856209150327,0.02772967769359008,0.7847063310450038,0.04395820188154355,0.5950885867578191,0.055076889494073585,0.8588157894736843,0.7781456953642384,0.7681660899653979,0.5560577471587169,1.0
blend_inverse_hybrid_logreg__cal_sigmoid__thr_f1,blend_inverse_hybrid_logreg,sigmoid,f1,0.5000000000000002,0.8958048530416951,0.0013895639069797776,0.8006535947712419,0.03235129064252174,0.7837303548482752,0.05297884156759934,0.6017144865781603,0.06423316512869107,0.8588157894736843,0.7682119205298014,0.7535211267605634,0.5360779494382022,1.0
blend_inverse_hybrid_logreg__cal_sigmoid__thr_kappa,blend_inverse_hybrid_logreg,sigmoid,kappa,0.5000000000000002,0.8958048530416951,0.0013895639069797776,0.8006535947712419,0.03235129064252174,0.7837303548482752,0.05297884156759934,0.6017144865781603,0.06423316512869107,0.8588157894736843,0.7682119205298014,0.7535211267605634,0.5360779494382022,1.0
concat_r2_desc_logreg__cal_sigmoid__thr_kappa,concat_r2_desc_logreg,sigmoid,kappa,0.5000000000000002,0.870087149692413,0.005860334738131843,0.7973856209150327,0.009243225897863411,0.7836687306501549,0.02681751724314313,0.5951086117645495,0.018080403952777796,0.7545175438596492,0.7086092715231788,0.6986301369863014,0.41698841698841704,1.0
