source_csv,source_name,model_group,row_index,metric,score
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,precision,0.7966101694915254
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,recall,0.6266666666666667
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,f1,0.7014925373134329
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,kappa,0.4694307800421644
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,auroc,0.8195394736842105
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,specificity,0.8421052631578947
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,sensitivity,0.6266666666666667
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,mcc,0.4803735720225674
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,tp,94.0
confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa.csv,confirmed_models,0,fp,24.0
