accuracy,precision,recall,f1,kappa,auroc,specificity,sensitivity,mcc,tp,fp,tn,fn,source_csv,source_name,model_group,row_index,metric,mean,std,model_name,n_train,n_test,overlap_removed,optuna_best_cv_auroc,representation,fold,auc,acc,se,split,auprc
0.7384105960264901,0.7100591715976331,0.8,0.7523510971786834,0.4772338840439983,0.8315350877192982,0.6776315789473685,0.8,0.4810511790829873,120.0,49.0,103.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7384105960264901,0.7100591715976331,0.8,0.7523510971786834,0.4772338840439983,0.8315350877192982,0.6776315789473685,0.8,0.4810511790829873,120.0,49.0,103.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_none__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_none__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7384105960264901,0.7100591715976331,0.8,0.7523510971786834,0.4772338840439983,0.8315350877192982,0.6776315789473685,0.8,0.4810511790829873,120.0,49.0,103.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_sigmoid__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_sigmoid__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7384105960264901,0.7100591715976331,0.8,0.7523510971786834,0.4772338840439983,0.8315350877192982,0.6776315789473685,0.8,0.4810511790829873,120.0,49.0,103.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_sigmoid__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_50_50__cal_sigmoid__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7317880794701986,0.7041420118343196,0.7933333333333333,0.7460815047021944,0.4639992988299224,0.8185964912280701,0.6710526315789473,0.7933333333333333,0.4677107331616776,119.0,50.0,102.0,31.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_isotonic__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_isotonic__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7317880794701986,0.7899159663865546,0.6266666666666667,0.6988847583643123,0.4628222583336994,0.8185964912280701,0.8355263157894737,0.6266666666666667,0.4729244257520659,94.0,25.0,127.0,56.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_isotonic__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7350993377483444,0.7058823529411765,0.8,0.75,0.4706397896581945,0.8208771929824562,0.6710526315789473,0.8,0.4748160945778248,120.0,50.0,102.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7317880794701986,0.7225806451612903,0.7466666666666667,0.7344262295081967,0.4636702477526858,0.8208771929824562,0.7171052631578947,0.7466666666666667,0.4639245616963339,112.0,43.0,109.0,38.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_none__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_none__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7350993377483444,0.7058823529411765,0.8,0.75,0.4706397896581945,0.8208771929824562,0.6710526315789473,0.8,0.4748160945778248,120.0,50.0,102.0,30.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_sigmoid__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_sigmoid__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7317880794701986,0.7225806451612903,0.7466666666666667,0.7344262295081967,0.4636702477526858,0.8208771929824562,0.7171052631578947,0.7466666666666667,0.4639245616963339,112.0,43.0,109.0,38.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_sigmoid__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__blend_challenger_fpdesc_lgbm_valopt__cal_sigmoid__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
