variant,family,calibration,threshold_objective,threshold,coverage,selection_mode,internal_auroc_mean,internal_auroc_std,internal_accuracy_mean,internal_accuracy_std,internal_f1_mean,internal_f1_std,internal_kappa_mean,internal_kappa_std,internal_recall_mean,internal_recall_std,internal_specificity_mean,internal_specificity_std,external_auroc,external_accuracy,external_f1,external_kappa,external_recall,external_specificity
blend_challenger_fpdesc_lgbm_valopt__cal_none__thr_f1,blend,none,f1,0.4200000000000001,1.0,internal_only,0.9192156527682844,0.008035304331665305,0.826797385620915,0.0046216129489317455,0.8284276729559749,0.002490438977763972,0.6535626083050674,0.009432396426868666,0.8311688311688312,0.036732819801898506,0.8223684210526316,0.04652018297279917,0.8208771929824562,0.7350993377483444,0.75,0.47063978965819453,0.8,0.6710526315789473
blend_challenger_fpdesc_lgbm_valopt__cal_none__thr_kappa,blend,none,kappa,0.5500000000000003,1.0,internal_only,0.9192156527682844,0.008035304331665305,0.8169934640522876,0.009243225897863333,0.807448159119763,0.02274232559042641,0.6342289885912022,0.01816544798221337,0.7662337662337663,0.07346563960379716,0.868421052631579,0.05582421956735903,0.8208771929824562,0.7317880794701986,0.7344262295081967,0.46367024775268584,0.7466666666666667,0.7171052631578947
blend_challenger_fpdesc_lgbm_valopt__cal_sigmoid__thr_f1,blend,sigmoid,f1,0.4300000000000001,1.0,internal_only,0.9192156527682844,0.008035304331665305,0.826797385620915,0.0046216129489317455,0.8284276729559749,0.002490438977763972,0.6535626083050674,0.009432396426868666,0.8311688311688312,0.036732819801898506,0.8223684210526316,0.04652018297279917,0.8208771929824562,0.7350993377483444,0.75,0.47063978965819453,0.8,0.6710526315789473
blend_challenger_fpdesc_lgbm_valopt__cal_sigmoid__thr_kappa,blend,sigmoid,kappa,0.5400000000000003,1.0,internal_only,0.9192156527682844,0.008035304331665305,0.8169934640522876,0.009243225897863333,0.807448159119763,0.02274232559042641,0.6342289885912022,0.01816544798221337,0.7662337662337663,0.07346563960379716,0.868421052631579,0.05582421956735903,0.8208771929824562,0.7317880794701986,0.7344262295081967,0.46367024775268584,0.7466666666666667,0.7171052631578947
blend_challenger_fpdesc_lgbm_valopt__cal_isotonic__thr_f1,blend,isotonic,f1,0.34,1.0,internal_only,0.9166951469583049,0.00495409740749294,0.826797385620915,0.0046216129489317455,0.8284276729559749,0.002490438977763972,0.6535626083050674,0.009432396426868666,0.8311688311688312,0.036732819801898506,0.8223684210526316,0.04652018297279917,0.8185964912280701,0.7317880794701986,0.7460815047021944,0.4639992988299224,0.7933333333333333,0.6710526315789473
blend_challenger_fpdesc_lgbm_valopt__cal_isotonic__thr_kappa,blend,isotonic,kappa,0.4200000000000001,1.0,internal_only,0.9166951469583049,0.00495409740749294,0.8398692810457515,0.023108064744658412,0.8205576759966073,0.03770936290678895,0.6801937609731866,0.04590221445536011,0.7337662337662338,0.08264884455427182,0.9473684210526316,0.03721614637823938,0.8185964912280701,0.7317880794701986,0.6988847583643123,0.4628222583336994,0.6266666666666667,0.8355263157894737
blend_challenger_desc_logreg_valopt__cal_none__thr_f1,blend,none,f1,0.5500000000000003,1.0,internal_only,0.898368079289132,0.0034437018564279433,0.8300653594771241,0.02772967769359008,0.8088933966796562,0.04280462765523651,0.6606291204282837,0.055135600010738105,0.7207792207792207,0.08264884455427182,0.9407894736842105,0.027912109783679515,0.8428070175438598,0.7682119205298014,0.7445255474452555,0.5358742425573022,0.68,0.8552631578947368
blend_challenger_fpdesc_desclogreg_valopt3__cal_none__thr_f1,blend,none,f1,0.4200000000000001,1.0,internal_only,0.9191302118933699,0.0076728093994097284,0.826797385620915,0.0046216129489317455,0.8284276729559749,0.002490438977763972,0.6535626083050674,0.009432396426868666,0.8311688311688312,0.036732819801898506,0.8223684210526316,0.04652018297279917,0.8207456140350877,0.7350993377483444,0.75,0.47063978965819453,0.8,0.6710526315789473
blend_challenger_fpdesc_desclogreg_valopt3__cal_none__thr_kappa,blend,none,kappa,0.5500000000000003,1.0,internal_only,0.9191302118933699,0.0076728093994097284,0.8169934640522876,0.009243225897863333,0.807448159119763,0.02274232559042641,0.6342289885912022,0.01816544798221337,0.7662337662337663,0.07346563960379716,0.868421052631579,0.05582421956735903,0.8207456140350877,0.7317880794701986,0.7344262295081967,0.46367024775268584,0.7466666666666667,0.7171052631578947
blend_challenger_fpdesc_desclogreg_valopt3__cal_sigmoid__thr_f1,blend,sigmoid,f1,0.4300000000000001,1.0,internal_only,0.9191302118933699,0.0076728093994097284,0.826797385620915,0.0046216129489317455,0.8284276729559749,0.002490438977763972,0.6535626083050674,0.009432396426868666,0.8311688311688312,0.036732819801898506,0.8223684210526316,0.04652018297279917,0.8207456140350877,0.7350993377483444,0.75,0.47063978965819453,0.8,0.6710526315789473
blend_challenger_fpdesc_desclogreg_valopt3__cal_sigmoid__thr_kappa,blend,sigmoid,kappa,0.5400000000000003,1.0,internal_only,0.9191302118933699,0.0076728093994097284,0.8169934640522876,0.009243225897863333,0.807448159119763,0.02274232559042641,0.6342289885912022,0.01816544798221337,0.7662337662337663,0.07346563960379716,0.868421052631579,0.05582421956735903,0.8207456140350877,0.7317880794701986,0.7344262295081967,0.46367024775268584,0.7466666666666667,0.7171052631578947
blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_f1,blend,isotonic,f1,0.4100000000000001,1.0,internal_only,0.9170369104579632,0.005437423983833656,0.8398692810457515,0.023108064744658412,0.8205576759966073,0.03770936290678895,0.6801937609731866,0.04590221445536011,0.7337662337662338,0.08264884455427182,0.9473684210526316,0.03721614637823938,0.8195394736842105,0.7350993377483444,0.7014925373134329,0.46943078004216443,0.6266666666666667,0.8421052631578947
blend_challenger_fpdesc_desclogreg_valopt3__cal_isotonic__thr_kappa,blend,isotonic,kappa,0.4100000000000001,1.0,internal_only,0.9170369104579632,0.005437423983833656,0.8398692810457515,0.023108064744658412,0.8205576759966073,0.03770936290678895,0.6801937609731866,0.04590221445536011,0.7337662337662338,0.08264884455427182,0.9473684210526316,0.03721614637823938,0.8195394736842105,0.7350993377483444,0.7014925373134329,0.46943078004216443,0.6266666666666667,0.8421052631578947
