,scaffold,frequency
178,O=C(Nc1ccccc1)c1cnoc1,1
179,O=c1cc(-c2ccccc2)oc2ccccc12,2
180,O=C1CC[C]2[C]3CCc4ccccc4[C]3CCC21,2
181,O=C1CCC2C1CCC1c3ccccc3CCC12,1
182,[CH]1CC[C]2[C]3CCc4ccccc4[C]3CCC12,2
183,c1ccc2c(c1)CCC1C2CCC2CCCC21,2
184,C1=CCC=C1,1
185,O=C1[CH][CH]CC(Nc2ccccc2)=C1,17
186,O=C(Nc1ccccc1)C1CC1,1
187,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,10
188,c1ccc(COC2CC3CCC2O3)cc1,1
189,c1ccc(Cc2ccccn2)cc1,3
190,c1ccc2c(c1)N[C]1NCCC12,1
191,O=C1NC(=O)C2C3C=CC(C3)C12,1
192,C=C1c2ccccc2C=Cc2ccccc21,1
193,c1ccsc1,3
194,O=C1C(=O)c2c(ccc3ccccc23)-c2occc21,1
195,O=C1c2cc[nH]c2CCC1CN1CCOCC1,1
196,c1nc(Sc2cnc[nH]2)c2[nH]cnc2n1,1
197,C=C1[CH][CH]C[C]1n1cnc2c(=O)nc[nH]c21,1
198,c1ccc2c(c1)C1CCC2c2ccccc21,1
199,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,1
200,O=C1C(=O)c2c(ccc3ccccc23)C2=C1CCO2,1
201,O=c1ccn(-c2ccccc2)nc1,1
202,C=C1c2ccccc2COc2ccccc21,1
203,c1ccc(C2CCC2)cc1,1
204,O=C1C[CH]C(c2ccccc2)=NN1,1
205,O=C1CCC(c2ccccc2)=NN1,1
206,O=C1CN=C(c2ccccc2)c2ccccc2N1,8
207,c1ccc(N(CC2=NCCN2)c2ccccc2)cc1,1
208,O=C(NCc1ccccc1)c1ccncn1,2
209,O=C1NCCS1,1
210,O=C1c2ccccc2C(=O)c2ccccc21,2
211,O=C(OC1C[C]2CC[C](C1)N2)c1c[nH]c2ccccc12,1
212,c1ccc2c(c1)Nc1ccccc1S2,4
213,O=C1CC[C]2[C]3Cc4cccc5c4C2(CCN3)[C]1O5,2
214,[CH]1C=C[C]2[C]3Cc4cccc5c4C2(CCN3)[C]1O5,2
215,O=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5,1
216,[CH]1[C]2Cc3ccccc3C1CCN2,1
217,c1ccc2c(c1)CC1CC2CCN1,1
218,[CH]1[CH]O[C](n2cnc3cncnc32)C1,1
219,c1ccc2c(c1)Oc1ccccc1C1CNCC21,1
220,O=C1OC(=O)c2ccccc21,1
221,O=C1COC(=O)N1c1ccccc1,1
222,c1ccc2c(c1)CCO2,1
223,C1=C2CCN3Cc4cc5c(cc4C(CC1)C23)OCO5,1
224,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,1
225,C1=Cc2ccccc2C(=C2CCNCC2)c2ccccc21,1
226,C(=Cc1ccccc1)CNCc1cccc2ccccc12,1
227,O=C1[CH][CH]CC(NNc2ccccc2)=C1,1
228,[CH]1[CH]C2CC[C]3[C](CCc4ccccc43)[C]2C1,1
229,O=C(Cc1ccccc1)OC1C[C]2CC[C](C1)N2,1
230,O=C(Cc1ccccc1)OC1CC2CCC(C1)N2,1
231,c1ccc(Cc2cncnc2)cc1,1
232,c1ccc(C2CCCC2)cc1,2
233,N=C1NCOCN1Cc1cncs1,1
234,O=C1CCc2ccccc2N1,1
235,c1ccc(-c2ncoc2-c2ccccc2)cc1,1
236,O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,1
237,c1ccc(Cn2cncn2)cc1,1
238,O=C1OC2CC1C1C3OC3C3(CO3)C1C2,1
239,O=C1C(=O)c2c(ccc3c2CCCC3)-c2occc21,1
240,O=C1c2c([nH]c3ccccc23)CCN1Cc1c[nH]cn1,1
241,O=C1C=CC(=O)C=C1,1
242,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,3
243,O=C(c1ccccc1)c1ccc2nc[nH]c2c1,1
244,C1=NOC(c2ccccc2)(c2ccccc2)C1,1
245,c1ccc2c(c1)CCc1sccc1C2=C1CCNCC1,1
246,c1ccc(CCCOCCCN2CCCCC2)cc1,1
247,c1ccc(Nc2ccccc2)cc1,2
248,[CH]1Cc2ccccc2Nc2ccccc21,1
249,C=C1C[C]2[C](CCC3[C]2CCC3=O)C2C=CC(=O)C=C12,1
250,O=C1c2cccc3c2[C](CCC3)CN1[C]1CN2CCC1CC2,1
251,O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,1
252,O=c1c2ccccc2oc2ncccc12,1
