,scaffold,frequency
219,CC1CC2CCCCC2C(CCC2CC2)C1,1
220,CC(C[CH]CC1CCCCC1)C1CCCCC1,1
221,CC1CCC2CCC3CCCCC3C2C1,2
222,C1CCC(CCCC2CCCC3CCCCC32)CC1,1
223,C1CCC(CCCC2CCCCC2)CC1,1
224,CC(C)(CC1CCCCC1)C1CCCCC1,1
225,CC(CC1CCCC1)C(C1CCCCC1)C1CCCC1,1
226,C1CCC23CC4CC(CC(C4)C2C1)C3,1
227,CC1CCCC2CC(C3CCCCC3)CCC12,1
228,CC(CC1C[C]2CCC[C]2C1)CC(C)(C)C1CCCCC1,1
229,CC(CCC1CCCCC1)C1CCCC(C2CCCC2)C1,3
230,CC1CC2[C]3CC(CC(C)C4CCC5CCCCC54)CC2CC1C3,1
231,C1CCC(C2CCC3CCCCC32)CC1,2
232,[CH]1CC2CC[C]1C[C]2[CH]C1CCCC2CCCCC12,1
233,CC1CCC2C(CCC3C4CCCC4CC(C)C23)C1,4
234,CC(C)(CC1CCCCC1)C1CC2CCCCC2C1,4
235,[CH]1CC[C]2CC3CCC4CCCC(C2C1)C43,4
236,C1CCC2C(C1)CC1CCC3CCCC2C31,3
237,[CH](C1CCCCC1)C1CCCCC1,2
238,C1CC(CC2CCC34CCCCC3[C]2CC2CCCCC24)C1,1
239,C1CC(CC2CCC34CCCCC3C2CC2CCCCC24)C1,1
240,CC1CCCC(C)C1C(C)C1CCCCC1,1
241,CC1C(C2CCCCC2)CCCC1C1CCCCC1,1
242,CC(CC(CCC1CCCCC1)CC1CCCCC1)C1CCCCC1,10
243,CC(CC1CCCCC1)C1CC(C)(C)C2CCCCC2C1C,1
244,CC1CCC(C2CC2)C2CC(C3CCCCC3)CCC12,2
245,CC(CC1CCCCC1)C1CC2CCCCC2C(C)(C)C1,1
246,C1CCC(CC2CCC(C3CCCCC3)C2)CC1,3
247,CC1CC2(C3CCCCC3CC3CCCCC32)C2CCCCC12,1
248,CC1C[CH]C[C]2C[C]3[CH][CH][CH][CH][C]3CC21,1
249,CC1CCCC2CC3CCCCC3CC12,1
250,CC1C[C]2CC[C]3[C]4CCCC4CC[C]3C2CC1C,1
251,CC1CCC(C)C2C1[CH]C1[C]3C[C]3CC12,1
252,CC1CCC(C)C2C1CC1C3CC3CC12,1
253,CC(C[C]1[C]2CC[CH]C2C1C)CC1CCCCC1,2
254,CC1CC2CCC34C2CC1C1CCC(C)C(C2CCCCC23)C14,1
255,CC1CCCC(C)C(C)CC2CCC3CCC(CC1)C32,1
256,CC(C)(CC1CCC2CCCC2C1)C1CCCC1,1
257,CC1CCC2C(CC[C]3[C]4CCCC4C[CH]C32)C1,2
258,CC1C[CH]CC1C1CCC(C2CCCCC2)CC1,1
259,CC1C(CCC2CCCCC2)CC(C)(C)C2CCCC12,1
260,C1C[C]2[C]3CCC4CC5CCCC5CC4[C]3CCC2C1,1
261,C1CC2CC3CCC4C5CCCC5CCC4C3CC2C1,1
262,CC1C2CCCCC2CC1C1CCCCC1,1
263,CC1CC(C2CCCCC2)C2CCCCC12,1
264,C1CC2CCC3CCCC3C2C1,1
265,C1CCC(CC2CCCC3CCCCC32)CC1,4
266,CC1CC(C)C(CC2CCCCC2)C(C2C[CH]CCC2)C1,1
267,CC1CCC2[C]3CC4CCCC5C[C]1C2(CCC3CC1CC1)C45,3
268,[CH]1C[C]2CCCC[C]2C1,2
269,CC(CC1CCCCC1)C(C1CCCCC1)C1CCCCC1,1
270,[CH]1[CH][CH][C](CC2[CH][CH][CH]C2)C[CH]1,1
271,C1CCC(C(CCC[C]2CCCC2)C2CCCCC2)CC1,1
272,C1CCC(C(CCCC2CCCC2)C2CCCCC2)CC1,1
273,CC(CC1CCCCC1)C1CC2CCCCC2C1,3
274,C1CCC2C(C1)CC1CCCC23C2CCCC13C1CCCCC1C2,1
275,C1CCC(CC2CCC(CC3CCCCC3)C3CCCCC23)CC1,1
276,CC([CH]C1CCCCC1)C[C]1[C]2CCCCC2C1C,3
277,CC(CC1CCCCC1)CC1C(C)C2CCCCC21,4
278,CC1CCC2C(C1)CC1C3CC4CCCCC4CC3CC1C2C,2
279,CC(CC1CCCCC1)CC1C(C)C2CCCC21,2
280,C1CCC(CC(CC2CCCC2)C2CCCCC2)CC1,1
281,CC1C(C2CCCCC2)CC(C2CCCCC2)CC1C1CCCCC1,1
282,CC([CH]C1CCCCC1)C[C]1[C]2CC[CH]C2C1C,2
283,[CH]1CCC([C]2CCCC[C]2CCCC2CCCCC2)C1,1
284,[CH]1CCC2[C]3CCC4[C](CCC4C4CCCCC4)[C]3CCC2C1,1
285,CC(CCC1CCCCC1)C[C]1[C]2CC[CH]C2C1C,1
286,CC(CC1CCCC1)C1CC(C)(C)C2CCCCC2C1C,1
287,CC1CCCC1CCC1C(C)CCC2CCCCC21,1
288,CC(CC1CCCC1)C1CC2CCCCC2C(C)(C)C1,1
289,C1CCC(CCC2CCC3CCCCC3C2)CC1,3
290,CC1[CH][CH][CH]C1,4
291,CC1C[C]2[CH][CH]C[C]2C1,1
292,CC1CC2CCCC2C1,1
293,CC1C[CH]C2(CC1)CC1CCCCC1C2C,1
294,CC1CCC2(CC1)CC1CCCCC1C2C,1
295,CC1CCC2CCC(CC3CCCCC3)CC12,1
296,C1CCC2CC3C(CCC4C5CCCCC5CC34)CC2C1,1
297,[CH]1[CH][CH]C[CH]1,2
298,CC1CCC2C3CC4CCCC5CC1C2(CCC3CC1CC1)C45,1
299,CC1CC(C)C(CC2CCC(CCCC3CCCCC3)CC2)C1,1
300,CC1CC(C)C(CC2CCC(CCCCC3CCCCC3)CC2)C1,1
301,[CH]1CCC2[C]3CC4CCCC5C[C]1C2(CCC3CC1CCC1)C45,1
302,C1CC(CC2CCC34C5CCCC3C2CC2CCCC(C5)C24)C1,1
303,CC(C1CCCCC1)C1CCC2CCCCC21,1
304,CC(C1CCCCC1)C1CCC2C(CCC2C2CCCC2)C1,1
305,CC1CCC2[C]3[C](CCC2C1)[C]1CCCC1CC3C,3
306,CC1CC(C)C(C2CCCCC2)(C2CCCCC2)C1,1
307,CC1CCC2C1CCC1C2CC2CC23CC2CC2C2CC213,1
308,CC1CCC2[C]3[CH]CC4CCC[C]4[C]3CCC2C1,2
309,CC1CCC2CCCC3C(C4CCCCC4)CCC1C23,1
310,CC1CCC2[CH]CCC3C(C4CCCCC4)CCC1C23,1
311,C1CCC(CC2CC3CCCCC3C2)CC1,1
312,CC1CC[C](C(C)C[C](CC2CCCC2)C(C)C2[CH]CCC2)C1,1
313,CC1CCC(C(C)CC(CC2CCCC2)C(C)C2CCCC2)C1,1
314,CC(CCC1CCCC1)CC1CCCCC1,1
315,C1CCC(CCCC2C3CCCCC3CC3CCCCC32)CC1,7
316,CC1C2CCCCC2CCC1C1CCCCC1,1
317,C1CCC(CC(CCC2CCCC2)C2CCCCC2)CC1,1
318,CC1CC(C2CCC(C3CCCCC3)CC2)C(C)C2CCCCC12,1
319,CC1C(C)C(C2CCC(C3CCCCC3)CC2)CC2CCCCC21,1
320,CC(CC1CCCCC1)C1CCCC2CCCC21,1
321,C1CCC2C(C1)CC1CC2CC2C3CCCC3CCC12,1
322,CC1CCC2CC(CCCCCC3CCCC3C3CCCCC3)CCC2C1,1
323,CC(CCC1CCCC1)C1CCCCC1,1
324,CC1CCC2C(CCC3C2[CH]CC2C[CH]CC23)C1,1
325,C1CCC(CCC2C3CCCCC3CC3CCCCC32)CC1,1
326,C1CCC(C2CCCC3CCCC32)CC1,1
327,CC1CCCC2C(CCCC3CCCCC32)C1,2
328,CC1C(CCCC2CCC(C3CCCCC3)CC2)CC2CCCCC21,1
329,CC1CC[C]2CCC3CCCCC3[C]2C1,1
330,CC1CCC2[C](CC[C]3[C]4CC[CH]C4CC[C]32)C1,1
331,C1CCC(C2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1,1
332,CC1CCCCC1C1CC(C2CCCCC2)C(C2CCCCC2C)C1,1
333,CC(C1CC1)C(C1CCCCC1)C1CCC2CCCC2C1,1
334,CC1CCC2[C]3[CH]CC4CCC[C]4[C]3C[CH]C2C1,1
335,CC1CC2CCC3C4CCCC4CCC3C2C2CC12,1
336,CC(CCCC1CCC(C2CCCCC2)CC1)C1CCCCC1,1
337,CC1CC(C)C2CC3CCCCC3CC2C1,1
338,CC([CH]C[CH]CCC1CCCCC1)C1[CH]CCC1,2
339,C1CCC(CCCCC2CCCC(CC3CCCCC3)C2)CC1,1
340,CC(CCCCC1CCCCC1)C1CCCC1,1
341,C1CCC(C2(CC3CCCC3)CCCC2)CC1,1
342,[CH](CC1CCCCC1)C(C1CCCCC1)C1CCCCC1,1
343,C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1,21
344,CC1CCC(CCC2CCCCC2)C1(C1CCCCC1)C1CCCCC1,1
345,CC1(CCCCC2CCC3CCCCC32)CCCC(C2CCCC2)C1,2
346,CC(CCCC1CCC(C2C(C)CC3CCCCC32)CC1)C1CCCCC1,1
347,C1CCC(CCC(CC2CCCC2)C2CCCCC2)CC1,1
348,C1CCC(CCC2CCC(C3CCCCC3)CC2)CC1,2
349,CC1CC2C3CCCC3C3(CCCCC23)C1,1
350,CC(C1CCCC1)C1CCC(C2CCC3CCCCC3C2)CC1,2
351,CC(C[C]1[C]2CCCCC2C1C)C(C)C1CCCC1,2
352,CC(CC1C(C)C2CCCCC21)C(C)C1CCCC1,8
353,CC1[CH][C]2[CH]C(C[C]3C[CH]CC3)CC21,2
354,CC1CC2(CCCC2)CC(C)C1CCCCC1CCC(C2CCCCC2)CC1,1
355,C1CCC(CCC2CCC3CC(CC4CCCCC4)CCC23)CC1,2
356,CC1CCC2[C]3CCC4CCC[C]4[C]3C[CH]C2C1,1
357,C1CCC(CC2CCC(CCC3CCCC3)CC2)CC1,1
358,CC1CCCC1C1CCCCC1,1
359,C1CCC(CC2CCCC3CCCC32)CC1,2
360,CC([CH]C[CH]CCC1CCCCC1)C1[CH]C[C]2CCC[C]21,2
361,CC(CC1C2CCCCC2C(C)C1C1CCCCC1)C1CCCCC1,1
362,CC(C[C]1C2CCCCC2C(C)C1C1CCCCC1)C1CCCCC1,1
363,CC1(CCCCC2CCC3CCCCC32)CCCC(C2CCCCC2)C1,24
364,CC1CCC(C2CCC3C(C)CCC(C4CC4)C3C2)C1,1
365,CC1CCC(C)C2[C]1CC1C(CC3CCCCC31)[C]2C1CCC2CCCC2C1,1
366,C1CCC([C](C2CCCCC2)C2CCCCC2)CC1,1
367,[CH]1[CH]C[C](C2CCC3CCC(C4CCCC4)CC32)[CH]1,1
368,CC1[CH][C]2CCCC[C]2C1,1
369,[CH]1[CH][C]2CC3CCCCC3C[C]2C1,1
370,C1CCC2CC3CCCC3CC2C1,1
371,C1CCC(CC2CCC(C(C3CCCCC3)C3CCCCC3)CC2)CC1,1
372,CC(CCC1CCCC(CC2CCCCC2)C1)C1CC1,2
373,CC(CCCC1CCCCC1)C1CCCC2C(C)CC(C3CCCCC3)CC12,1
374,CC(CCCCCCCCC1CCCCC1)CC1CCCCC1,1
375,CC1CCC(C2CC2)C2CC(C3C[CH]C[CH]C3)CCC12,1
376,CC1CCC2C(CC[C]3[C]4C[CH]CC4C[CH]C32)C1,2
377,CC(CC1CCCCC1)C1CCC2CCCCC2C1C,1
378,CC(CC1CC2CCC(C1)C21CCCC1)C(C1CCCCC1)C1CCCCC1,1
379,CC(CC1C[C]2CCC(C1)C21CCCC1)C(C1CCCCC1)C1CCCCC1,1
380,[CH]1CCC2[C](C1)C[CH][C]1[C]3CC[CH]C3CC[C]12,1
381,C1CCC(CC2C3CCCCC3CC3CCCCC32)CC1,1
382,CC1CC2CCCC3CC4CCC56C4CC3C2C5C1C1CCCCC16,1
