,scaffold,frequency
223,O=C(NN=C1C[C]2CCC1C2)C1C2C=CC3(CN(c4ccccc4)C(=O)C13)O2,4
224,c1ccc(-c2cccc(COc3ccc4c(c3)SCC4)c2)cc1,1
225,c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,2
226,c1ccc(-n2cccn2)cc1,1
227,O=C([CH]N[CH]CCc1ccccc1)N1[CH]Cc2ccccc2C1,1
228,c1ccc(-c2nn[nH]n2)c(-c2ccc(Cn3cnc4ccccc43)cc2)c1,1
229,O=C1NC(CNC(=O)c2nnco2)=NC(C(=O)NCc2ccccc2)C1=O,1
230,C=C1C(=O)CC2CC3Cc4ccccc4C=C3C(=O)C2C1=O,3
231,[CH]1[CH][CH][C](c2cccc(Cc3ccc(-c4ccccc4)s3)c2)O[CH]1,1
232,c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3ccnc3)cc2)c1,1
233,O=C(NN=C1C[C]2CCC1C2)C1C2C=CC3(CN(Cc4ccccc4)C(=O)C13)O2,1
234,O=C(Nc1ccc(C(=O)N2CCCCc3ccccc32)cc1)c1ccccc1,1
235,[CH]1[CH][C](O[C]2[CH]C[CH][C](O[C]3[CH]CC[CH]O3)[CH]2)OCC1,1
236,[CH]1[CH][CH][C](c2cccc(Cc3ccc(O[C]4CCOC4)cc3)c2)O[CH]1,1
237,C1CCC2C(C1)CCC1C3CCCC3CCC21,1
238,N=C(C(=O)N[C]1[C]2SCC=CN2C1=O)c1cscn1,1
239,c1ccc(NCc2cnc3ncncc3n2)cc1,1
240,O=C(Cn1cnnn1)NC1C(=O)N2C=C(CSc3nncs3)CSC12,1
241,O=C(NCc1ccccc1)c1cc(-c2nnn(CC3COCCO3)n2)ncn1,2
242,O=C1[CH][C]2C[C]3Cc4ccccc4C=C3C(=O)C2C(=O)C1,1
243,O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,2
244,N=C(C1=NOCCO1)c1ccccc1Oc1cc(Oc2ccccc2)ncn1,1
245,N=C1CCc2ccc(OCc3cccc(-c4ccccc4)c3)cc21,1
246,c1ccc(-c2ccncc2)cc1,1
247,O=C(NN=C1C[C]2CCC1C2)C1C2C=CC3(CN(CCc4ccccc4)C(=O)C13)O2,1
248,O=S(=O)(c1ccc(OCc2cccc(-c3ccccc3)c2)cc1)C1CC1,1
249,O=S1(=O)CCc2ccc(OCc3cccc(-c4ccccc4)c3)cc21,1
250,[CH]1[CH][CH][C](O[C]2[CH]C[CH][C](O[C]3[CH]C[CH][CH]O3)[CH]2)O[CH]1,1
251,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,5
252,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1,1
253,N=C(COc1ccc(COc2ccccc2)cc1)c1ccccc1,1
254,O=C(Nc1ncccn1)NS(=O)(=O)c1cnc2ccccn12,1
255,O=C1CC2OCC3CC(=O)C4C(CCC5C(c6ccoc6)OC(=O)C6OC654)C32CO1,1
256,O=C1C=C2C3CCCCC3CCC2C2CCC3CCCCC3C12,1
257,C1=COC(OC2CCCC(OC3CCCCO3)C2)CC1,1
258,N=C(C(=O)N[C]1[C]2SCC(C[NH+]3CCCC3)=CN2C1=O)c1cscn1,1
259,c1ccc(OCc2cccc(-c3ccc(OCC4CC4)cc3)c2)cc1,1
260,c1ccc(-c2ccncn2)cc1,1
261,N=C(C(=O)NC1C(=O)N2C=C(C[NH+]3CCCC3)CSC12)c1cscn1,1
262,O=S(=O)(Nc1nc2ccncn2n1)c1ccccc1,1
263,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,1
264,O=C(NCc1ccccc1)c1cc(-c2nnn(C[C]3CO[CH]CO3)n2)ncn1,2
265,c1ccc(OCCCOc2ccccn2)cc1,1
266,O=C1[CH][CH]O1,1
