,scaffold,frequency
112,C1CCC(OC2CCOC2)OC1,1
113,C1CCC(OC2CCCOC2)OC1,1
114,c1ccc2ncccc2c1,1
115,[CH]1[CH][CH]O[CH][CH]1,1
116,c1ccc(CCNCCCOc2ccccc2)cc1,1
117,O=C1CC[C]2[C]3CCc4ccccc4[C]3CCC21,1
118,O=C(Nc1ccccc1)c1ccccc1,1
119,O=C1Nc2cccnc2N(C(=O)CN2CCNCC2)c2ccccc21,1
120,C1=Cc2ccccc2N(CCCN2CCNCC2)c2ccccc21,1
121,O=c1cnn([C]2[CH][CH][CH]O2)c(=O)[nH]1,1
122,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,1
123,C1CCC2C(C1)CCC1C3CCCC3CCC21,1
124,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,1
125,O=C(OCCN1CCOCC1)c1cccnc1Nc1ccccc1,1
126,O=C(CCC1CCCC1)OC1CCC2C1CCC1c3ccccc3CCC12,1
127,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,1
128,c1ccc(CSC(Cn2ccnc2)c2ccccc2)cc1,1
129,O=C(Nc1ccccc1)[C](Cc1ccccc1)NC(=O)c1ccccc1,1
130,O=C(N[CH]Cc1ccccc1)[C]1CCCN1,1
131,O=C1C=C2CC[C]3[C](CCC4CCC[C]34)[C]2CC1,1
132,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,1
133,C(=Cc1ccccc1)c1ccccc1,1
134,O=C1C(N=Nc2ccccc2)C=NN1c1ccccc1,1
135,O=C1C[C]2SCC(CSc3nnn[nH]3)=CN21,1
136,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,1
137,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,1
138,C(=NC=NCCCCCCN=CN=CNc1ccccc1)Nc1ccccc1,2
139,O=C1C=CC2C(=C1)[CH]C[C]1[C]3CCCC3C[CH]C12,1
140,c1ccc2c(c1)CCC1C2CCC2CCCC21,1
141,O=C1C=CC2[C]3[CH]CC4C[CH]C[C]4[C]3[CH]CC2=C1,1
142,O=C(Cc1cscn1)N[C]1[C]2SCC(CSc3nnn[nH]3)=CN2C1=O,1
143,O=C1C=CC2C(CCC3C2CCC2C(C(=O)Nc4ccccc4)CCC23)N1,1
144,c1ccc2c(c1)CCNC2CC1CCN2CCc3ccccc3C2C1,1
145,O=C(OCc1coc(=O)o1)c1cncn1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1
146,O=C1C=C(C=CC=CC=CC=CC=CC=CC=CC=CC=CC2=CC(=O)CCC2)CCC1,1
147,O=C1OC[C]2[C]1[C](c1ccccc1)c1cc3c(cc1[C]2O[C]1[CH][CH][C]2O[CH]OC[C]2O1)OCO3,1
148,O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CCCC=CC=CCCCCO1)O2,1
149,O=C(CCC=CCCC(=O)OCCC[NH+]1CCc2ccccc2[C]1Cc1ccccc1)OCCC[NH+]1CCc2ccccc2[C]1Cc1ccccc1,1
150,O=C(CCOCCOCCOCCOCCC(=O)Nc1ccccc1)Nc1ccccc1,1
